         time;          counts;events
 82.168959248;            3539;page-faults                                                 
 83.170477465;        24902564;cache-misses                                                
 83.170477465;         2279455;dTLB-loads-misses                                           
 83.170477465;            3099;page-faults                                                 
 84.171711900;        22690297;cache-misses                                                
 84.171711900;         2199000;dTLB-loads-misses                                           
 84.171711900;            2500;page-faults                                                 
 85.173168910;        25762248;cache-misses                                                
 85.173168910;         2398302;dTLB-loads-misses                                           
 85.173168910;            4390;page-faults                                                 
 86.174664111;        25280605;cache-misses                                                
 86.174664111;         2261537;dTLB-loads-misses                                           
 86.174664111;            3994;page-faults                                                 
 87.175715684;        23106421;cache-misses                                                
 87.175715684;         2155148;dTLB-loads-misses                                           
 87.175715684;            2020;page-faults                                                 
 88.177148235;        23715637;cache-misses                                                
 88.177148235;         2164911;dTLB-loads-misses                                           
 88.177148235;            1912;page-faults                                                 
 89.178015296;        23621467;cache-misses                                                
 89.178015296;         2183753;dTLB-loads-misses                                           
 89.178015296;            5105;page-faults                                                 
 90.181686471;        24826346;cache-misses                                                
 90.181686471;         2347778;dTLB-loads-misses                                           
 90.181686471;            3240;page-faults                                                 
 91.183111969;        35411501;cache-misses                                                
 91.183111969;         2865133;dTLB-loads-misses                                           
 91.183111969;            5288;page-faults                                                 
 92.183723597;        23017901;cache-misses                                                
 92.183723597;         2153244;dTLB-loads-misses                                           
 92.183723597;            6769;page-faults                                                 
 93.185171640;        23543907;cache-misses                                                
 93.185171640;         2204226;dTLB-loads-misses                                           
 93.185171640;            2205;page-faults                                                 
 94.186720584;        23837371;cache-misses                                                
 94.186720584;         2273296;dTLB-loads-misses                                           
 94.186720584;            2624;page-faults                                                 
 95.187729676;        23450340;cache-misses                                                
 95.187729676;         2145700;dTLB-loads-misses                                           
 95.187729676;            3494;page-faults                                                 
 96.189321687;        23705959;cache-misses                                                
 96.189321687;         2224399;dTLB-loads-misses                                           
 96.189321687;            1842;page-faults                                                 
 97.190805268;        23720523;cache-misses                                                
 97.190805268;         2225448;dTLB-loads-misses                                           
 97.190805268;            1811;page-faults                                                 
 98.191680826;        24628753;cache-misses                                                
 98.191680826;         2278382;dTLB-loads-misses                                           
 98.191680826;            3908;page-faults                                                 
 99.193027848;        22393815;cache-misses                                                
 99.193027848;         2128905;dTLB-loads-misses                                           
 99.193027848;            1599;page-faults                                                 
100.194645061;        22478092;cache-misses                                                
100.194645061;         2150589;dTLB-loads-misses                                           
100.194645061;            1723;page-faults                                                 
101.195681262;        22089356;cache-misses                                                
101.195681262;         2124652;dTLB-loads-misses                                           
101.195681262;            1521;page-faults                                                 
102.197115733;        23044236;cache-misses                                                
102.197115733;         2155145;dTLB-loads-misses                                           
102.197115733;            2902;page-faults                                                 
103.198687269;        24143043;cache-misses                                                
103.198687269;         2204749;dTLB-loads-misses                                           
103.198687269;            1745;page-faults                                                 
104.199713955;        22226546;cache-misses                                                
104.199713955;         2182829;dTLB-loads-misses                                           
104.199713955;            1520;page-faults                                                 
